date,Vrms_AN_avg (V),Vrms_BN_avg (V),Vrms_CN_avg (V),Irms_A_avg (A),Irms_B_avg (A),Irms_C_avg (A),Power (P)_A_avg (W),Power (P)_B_avg (W),Power (P)_C_avg (W),Power (Q)_A_avg (VAR),Power (Q)_B_avg (VAR),Power (Q)_C_avg (VAR)
11/22/2017 6:00,251.285,249.853,255.603,0.401716,2.1593,0.027934,55.0213,244.897,3.59066,-19.1073,479.273,-3.64964
11/22/2017 6:01,251.315,249.864,255.499,0.399278,2.16035,0.025069,55.1393,245.951,3.53343,-18.8796,478.936,-3.70715
11/22/2017 6:02,251.284,249.964,255.291,0.39934,2.16541,0.026199,55.0919,246.772,3.61275,-19.0347,480.228,-3.57686
11/22/2017 6:03,251.312,250.062,255.458,0.400624,2.1626,0.028668,54.9425,245.857,3.54425,-18.8947,480.101,-3.61095
11/22/2017 6:04,251.267,250.031,255.569,0.398284,2.165,0.025256,54.9178,246.193,3.68491,-18.9594,480.483,-3.75267
11/22/2017 6:05,251.024,249.912,255.471,0.39831,2.16163,0.026215,55.0474,245.614,3.69926,-18.9955,479.611,-3.66387
11/22/2017 6:06,251.215,249.98,255.687,0.395973,2.15866,0.022991,54.9488,245.963,3.46952,-18.8059,478.797,-3.67683
11/22/2017 6:07,251.071,249.875,255.687,0.399593,2.15669,0.023395,54.9944,244.864,3.61264,-18.9117,478.402,-3.7448
11/22/2017 6:08,250.578,249.48,255.127,0.399842,2.15554,0.027737,54.9418,245.447,3.47843,-19.0587,476.881,-3.57673
11/22/2017 6:09,250.7,249.715,255.426,0.393433,2.15198,0.030287,55.0373,245.137,3.53817,-18.5131,476.785,-3.65082
11/22/2017 6:10,250.959,249.985,255.674,0.394699,2.15767,0.026185,55.1983,244.902,3.42325,-18.804,478.961,-3.70856
11/22/2017 6:11,250.961,249.888,255.577,0.395965,2.15847,0.025128,54.9063,245.032,3.4711,-18.766,478.971,-3.74533
11/22/2017 6:12,251.146,250.288,255.712,0.394697,2.16056,0.024916,55.2204,245.236,3.51449,-18.7383,480.62,-3.6162
11/22/2017 6:13,250.888,250.124,255.507,0.393921,2.16214,0.029532,55.1086,246.314,3.49586,-18.4096,479.846,-3.72689
11/22/2017 6:14,250.935,250.078,255.649,0.394284,2.15926,0.028359,54.9536,245.862,3.55642,-18.2761,479.353,-3.77184
11/22/2017 6:15,250.458,249.784,255.277,0.398853,2.15935,0.028238,55.5114,245.394,3.47767,-18.1244,478.613,-3.5179
11/22/2017 6:16,250.467,249.847,255.241,0.394492,2.16234,0.024715,55.0906,245.948,3.49779,-18.1193,479.431,-3.63963
11/22/2017 6:17,250.811,250.119,255.646,0.392393,2.15925,0.02373,54.945,245.682,3.57645,-18.2918,479.52,-3.65475
11/22/2017 6:18,250.721,249.983,255.523,0.396676,2.15595,0.026066,55.3646,245.172,3.64642,-18.1212,478.399,-3.70099
11/22/2017 6:19,250.406,249.657,255.416,0.395367,2.15446,0.023759,54.9607,245.576,3.35057,-17.9021,476.878,-3.67472
11/22/2017 6:20,250.295,249.477,255.346,0.396331,2.15634,0.024145,55.0132,245.611,3.35734,-17.872,477.171,-3.65365
11/22/2017 6:21,250.263,249.442,255.171,0.393373,2.1549,0.025791,55.2826,244.902,3.62633,-18.2911,476.967,-3.57793
11/22/2017 6:22,250.013,249.531,255.148,0.394804,2.15497,0.0272,55.2238,245.157,3.40505,-18.3855,477.003,-3.63654
11/22/2017 6:23,250.214,249.569,255.119,0.392701,2.15691,0.028933,54.9607,244.2,3.64355,-18.2532,477.986,-3.58899
11/22/2017 6:24,249.718,248.983,254.596,0.395952,2.15083,0.025202,55.2467,244.949,3.46166,-18.3076,474.441,-3.52733
11/22/2017 6:25,249.838,248.945,254.301,0.395029,2.14994,0.028524,55.0895,244.927,3.32003,-19.2043,474.385,-3.61061
11/22/2017 6:26,250.182,249.368,254.759,0.396759,2.15644,0.027542,55.2709,245.038,3.62149,-19.0841,477.043,-3.508
11/22/2017 6:27,249.771,248.949,254.294,0.397602,2.15099,0.024711,55.1407,244.72,3.56743,-18.6731,474.685,-3.62507
11/22/2017 6:28,249.723,248.962,254.167,0.393552,2.14969,0.024528,55.1178,243.522,3.35671,-18.7671,474.901,-3.55556
11/22/2017 6:29,249.857,248.972,254.258,0.390051,2.1485,0.030196,54.7747,244.208,3.33341,-18.7249,474.459,-3.61263
11/22/2017 6:30,249.532,248.85,253.939,0.388298,2.14451,0.025244,55.0443,244.394,3.39074,-18.2372,472.781,-3.42343
11/22/2017 6:31,249.917,249.086,254.605,0.392991,2.1488,0.025433,55.2639,244.462,3.52437,-18.0861,474.493,-3.55492
11/22/2017 6:32,249.702,248.876,254.402,0.394125,2.14488,0.026488,55.072,243.341,3.50901,-18.2455,473.522,-3.52879
11/22/2017 6:33,249.829,248.982,254.344,0.39101,2.14592,0.026002,54.6672,243.856,3.50795,-18.1474,473.999,-3.57548
11/22/2017 6:34,250.172,249.4,254.729,0.393024,2.14891,0.025867,55.0561,245.066,3.54399,-18.3941,474.992,-3.69118
11/22/2017 6:35,249.96,249.29,254.771,0.395799,2.14964,0.027829,54.948,244.985,3.58258,-18.2716,475.057,-3.60817
11/22/2017 6:36,249.802,249.072,254.532,0.403549,2.14654,0.025643,54.9963,244.361,3.45712,-18.4807,474.114,-3.76407
11/22/2017 6:37,249.844,249.231,254.594,0.405653,2.14849,0.027091,54.9965,244.004,3.62655,-18.763,475.072,-3.68226
11/22/2017 6:38,250.182,249.592,254.76,0.40089,2.15269,0.023779,54.9567,244.481,3.59023,-18.7775,476.955,-3.59467
11/22/2017 6:39,250.123,249.652,254.729,0.40287,2.15281,0.02893,55.0933,244.088,3.52861,-18.4924,477.245,-3.73705
11/22/2017 6:40,250.055,249.516,254.704,0.403419,2.15667,0.025736,54.9955,243.901,3.47745,-18.3601,477.894,-3.56203
11/22/2017 6:41,250.008,249.537,254.685,0.403996,2.15194,0.026093,54.8751,245.014,3.61849,-18.7387,476.121,-3.69801
11/22/2017 6:42,249.785,249.281,254.271,0.404575,2.15003,0.027134,54.8022,244.611,3.45093,-18.6578,475.331,-3.66776
11/22/2017 6:43,249.907,249.259,254.326,0.404294,2.15097,0.024278,55.1266,244.605,3.47681,-18.4868,475.328,-3.52628
11/22/2017 6:44,249.698,249.008,254.012,0.406309,2.14959,0.027482,55.1479,243.843,3.57007,-18.5896,474.767,-3.77443
11/22/2017 6:45,249.596,248.647,253.905,0.399235,2.14361,0.026692,55.0786,243.851,3.57494,-18.3477,472.128,-3.63673
11/22/2017 6:46,249.712,248.879,254.193,0.399827,2.14721,0.025616,55.0853,244.037,3.6206,-18.4746,473.769,-3.66136
11/22/2017 6:47,249.843,248.813,254.266,0.396393,2.14314,0.026789,55.0817,243.559,3.42643,-18.5426,472.734,-3.68689
11/22/2017 6:48,249.458,248.454,253.72,0.401147,2.13883,0.026565,55.2571,243.33,3.65144,-18.6899,470.927,-3.51747
11/22/2017 6:49,249.435,248.714,253.958,0.396301,2.1418,0.026892,54.6996,243.662,3.53317,-18.44,472.21,-3.65716
11/22/2017 6:50,249.672,249.149,254.282,0.393536,2.1494,0.023526,55.0582,244.227,3.54217,-18.5296,474.925,-3.71798
11/22/2017 6:51,249.866,249.228,254.284,0.392303,2.15244,0.025885,55.0652,244.912,3.5466,-18.5587,475.49,-3.84007
11/22/2017 6:52,250.248,249.352,254.665,0.387708,2.15318,0.029272,54.8226,244.945,3.49467,-18.4943,476.053,-3.65755
11/22/2017 6:53,249.952,248.854,254.372,0.389121,2.14161,0.02646,55.2123,243.303,3.47676,-18.311,472.522,-3.58484
11/22/2017 6:54,249.769,248.821,254.39,0.388177,2.14557,0.030834,55.0602,243.954,3.39212,-18.3948,473.427,-3.59522
11/22/2017 6:55,249.507,248.895,254.472,0.392818,2.14658,0.029709,55.2744,243.853,3.39684,-18.6219,473.857,-3.47385
11/22/2017 6:56,249.612,249.371,254.59,0.394679,2.15486,0.029504,55.0303,244.891,3.45721,-18.6291,476.584,-3.51525
11/22/2017 6:57,249.6,249.249,254.312,0.387475,2.14976,0.02588,54.2224,244.002,3.56161,-18.1035,475.352,-3.4726
11/22/2017 6:58,249.828,249.561,254.597,0.389134,2.15415,0.028081,53.9009,243.854,3.52841,-18.3027,477.326,-3.66731
11/22/2017 6:59,249.632,249.285,254.455,0.389121,2.14892,0.02636,53.8146,244.32,3.4334,-17.6767,475.179,-3.58532
11/22/2017 7:00,249.74,249.15,254.407,0.386274,2.14806,0.025305,53.9623,244.282,3.38538,-17.7696,474.663,-3.60563
11/22/2017 7:01,249.709,248.925,254.45,0.383984,2.14213,0.025396,53.9253,243.736,3.46475,-17.6393,472.621,-3.41451
11/22/2017 7:02,250.27,249.45,255.006,0.375738,2.15297,0.025386,53.0014,244.795,3.60426,-18.2534,476.443,-3.51473
11/22/2017 7:03,250.586,249.919,255.33,0.380598,2.1578,0.024295,53.1172,244.739,3.45147,-17.9242,478.76,-3.62727
